filtration rate m/s,initial depth m,final depth m,initial porosity,porosity,media size m,headloss m
0,0.6,0.73,0.62,,6.60E-04,0
1.36E-03,0.6,0.705,0.62,0.6769,6.60E-04,2.54E-03
2.72E-03,0.6,0.695,0.62,0.6722,6.60E-04,0.0203
3.40E-03,0.6,0.689,0.62,0.6694,6.60E-04,0.0406
4.07E-03,0.6,0.684,0.62,0.667,6.60E-04,0.0559
5.43E-03,0.6,0.678,0.62,0.664,6.60E-04,0.0838
6.79E-03,0.6,0.67,0.62,0.66,6.60E-04,0.1092
8.15E-03,0.6,0.663,0.62,0.6564,6.60E-04,0.1905
9.51E-03,0.6,0.658,0.62,0.6538,6.60E-04,0.2083
0.0102,0.6,0.65,0.62,0.6496,6.60E-04,0.2489
0.0109,0.6,0.648,0.62,0.6485,6.60E-04,0.2642
0.0122,0.6,0.643,0.62,0.6457,6.60E-04,0.3302
0.0136,0.6,0.639,0.62,0.6435,6.60E-04,0.4013
0.0149,0.6,0.63,0.62,0.6384,6.60E-04,0.5029
0.0163,0.6,0.625,0.62,0.6355,6.60E-04,0.5537
0.017,0.6,0.62,0.62,0.6326,6.60E-04,0.5893
0.0177,0.6,0.619,0.62,0.632,6.60E-04,0.6223
0.019,0.6,0.614,0.62,0.629,6.60E-04,0.6985
0.0204,0.6,0.609,0.62,0.626,6.60E-04,0.7671
0,0.9,0.927,0.62,,6.60E-04,0
1.36E-03,0.9,0.925,0.62,0.6306,6.60E-04,7.62E-03
2.72E-03,0.9,0.924,0.62,0.6302,6.60E-04,0.0762
3.40E-03,0.9,0.923,0.62,0.6298,6.60E-04,0.1067
4.07E-03,0.9,0.919,0.62,0.6282,6.60E-04,0.1524
5.43E-03,0.9,0.917,0.62,0.6274,6.60E-04,0.1727
6.79E-03,0.9,0.914,0.62,0.6262,6.60E-04,0.2464
8.15E-03,0.9,0.912,0.62,0.6253,6.60E-04,0.3099
9.51E-03,0.9,0.91,0.62,0.6245,6.60E-04,0.3861
0.0102,0.9,0.908,0.62,0.6237,6.60E-04,0.4318
0.0109,0.9,0.906,0.62,0.6229,6.60E-04,0.4826
0.0122,0.9,0.9,0.62,0.6204,6.60E-04,0.5588
0.0136,0.9,0.896,0.62,0.6187,6.60E-04,0.6553
0.0149,0.9,0.89,0.62,0.6161,6.60E-04,0.8001
0.0163,0.9,0.887,0.62,0.6148,6.60E-04,0.889
0.017,0.9,0.885,0.62,0.6139,6.60E-04,0.9398
0.0177,0.9,0.883,0.62,0.613,6.60E-04,0.9957
0.019,0.9,0.88,0.62,0.6117,6.60E-04,1.1049
0.0204,0.9,0.877,0.62,0.6104,6.60E-04,1.2243
0,1.2,1.306,0.62,,6.60E-04,0
1.36E-03,1.2,1.294,0.62,0.6479,6.60E-04,0.0508
2.72E-03,1.2,1.284,0.62,0.6452,6.60E-04,0.1016
3.40E-03,1.2,1.273,0.62,0.6421,6.60E-04,0.127
4.07E-03,1.2,1.258,0.62,0.6379,6.60E-04,0.1727
5.43E-03,1.2,1.246,0.62,0.6344,6.60E-04,0.2464
6.79E-03,1.2,1.233,0.62,0.6305,6.60E-04,0.3556
8.15E-03,1.2,1.215,0.62,0.625,6.60E-04,0.4648
9.51E-03,1.2,1.21,0.62,0.6235,6.60E-04,0.5588
0.0102,1.2,1.205,0.62,0.6219,6.60E-04,0.6147
0.0109,1.2,1.199,0.62,0.62,6.60E-04,0.6934
0.0122,1.2,1.19,0.62,0.6172,6.60E-04,0.8382
0.0136,1.2,1.178,0.62,0.6133,6.60E-04,0.9982
0.0149,1.2,1.171,0.62,0.611,6.60E-04,1.1557
0.0163,1.2,1.168,0.62,0.61,6.60E-04,1.3462
0.017,1.2,1.164,0.62,0.6086,6.60E-04,1.4427
0.0177,1.2,1.16,0.62,0.6073,6.60E-04,1.5367
0.019,1.2,1.155,0.62,0.6056,6.60E-04,1.7018
0.0204,1.2,1.15,0.62,0.6038,6.60E-04,1.8669
0,0.6,,0.58,,1.20E-03,0
1.36E-03,0.6,0.73,0.58,0.6545,1.20E-03,2.54E-03
2.72E-03,0.6,0.729,0.58,0.654,1.20E-03,5.08E-03
3.40E-03,0.6,0.725,0.58,0.6521,1.20E-03,7.62E-03
4.07E-03,0.6,0.723,0.58,0.6512,1.20E-03,0.0254
5.43E-03,0.6,0.72,0.58,0.6497,1.20E-03,0.0483
6.79E-03,0.6,0.717,0.58,0.6482,1.20E-03,0.0559
8.15E-03,0.6,0.715,0.58,0.6473,1.20E-03,0.0813
9.51E-03,0.6,0.712,0.58,0.6458,1.20E-03,0.0991
0.0102,0.6,0.71,0.58,0.6448,1.20E-03,0.1067
0.0109,0.6,0.708,0.58,0.6438,1.20E-03,0.1143
0.0122,0.6,0.706,0.58,0.6428,1.20E-03,0.1499
0.0136,0.6,0.703,0.58,0.6412,1.20E-03,0.16
0.0149,0.6,0.7,0.58,0.6397,1.20E-03,0.1905
0.0163,0.6,0.698,0.58,0.6387,1.20E-03,0.2083
0.017,0.6,0.696,0.58,0.6376,1.20E-03,0.2286
0.0177,0.6,0.694,0.58,0.6366,1.20E-03,0.2489
0.019,0.6,0.691,0.58,0.635,1.20E-03,0.2794
0.0204,0.6,0.688,0.58,0.6334,1.20E-03,0.3099
0,0.9,,0.58,,1.20E-03,0
1.36E-03,0.9,1.132,0.58,0.6658,1.20E-03,5.08E-03
2.72E-03,0.9,1.123,0.58,0.6631,1.20E-03,0.0127
3.40E-03,0.9,1.121,0.58,0.6625,1.20E-03,0.0178
4.07E-03,0.9,1.12,0.58,0.6622,1.20E-03,0.0508
5.43E-03,0.9,1.114,0.58,0.6604,1.20E-03,0.0762
6.79E-03,0.9,1.102,0.58,0.6567,1.20E-03,0.1016
8.15E-03,0.9,1.095,0.58,0.6545,1.20E-03,0.1397
9.51E-03,0.9,1.088,0.58,0.6523,1.20E-03,0.1524
0.0102,0.9,1.084,0.58,0.651,1.20E-03,0.1778
0.0109,0.9,1.08,0.58,0.6497,1.20E-03,0.1981
0.0122,0.9,1.076,0.58,0.6484,1.20E-03,0.2286
0.0136,0.9,1.067,0.58,0.6454,1.20E-03,0.254
0.0149,0.9,1.06,0.58,0.6431,1.20E-03,0.2794
0.0163,0.9,1.056,0.58,0.6417,1.20E-03,0.3302
0.017,0.9,1.052,0.58,0.6404,1.20E-03,0.381
0.0177,0.9,1.049,0.58,0.6394,1.20E-03,0.3937
0.019,0.9,1.044,0.58,0.6376,1.20E-03,0.4394
0.0204,0.9,1.04,0.58,0.6362,1.20E-03,0.4877
0,1.2,,0.58,,1.20E-03,0
1.36E-03,1.2,1.364,0.58,0.6302,1.20E-03,5.08E-03
2.72E-03,1.2,1.358,0.58,0.6286,1.20E-03,0.0127
3.40E-03,1.2,1.358,0.58,0.6286,1.20E-03,0.0305
4.07E-03,1.2,1.356,0.58,0.628,1.20E-03,0.0457
5.43E-03,1.2,1.349,0.58,0.6261,1.20E-03,0.0762
6.79E-03,1.2,1.339,0.58,0.6233,1.20E-03,0.1092
8.15E-03,1.2,1.331,0.58,0.621,1.20E-03,0.1524
9.51E-03,1.2,1.328,0.58,0.6202,1.20E-03,0.1956
0.0102,1.2,1.324,0.58,0.619,1.20E-03,0.2286
0.0109,1.2,1.321,0.58,0.6181,1.20E-03,0.254
0.0122,1.2,1.317,0.58,0.617,1.20E-03,0.2921
0.0136,1.2,1.313,0.58,0.6158,1.20E-03,0.3302
0.0149,1.2,1.303,0.58,0.6129,1.20E-03,0.381
0.0163,1.2,1.298,0.58,0.6114,1.20E-03,0.4369
0.017,1.2,1.294,0.58,0.6102,1.20E-03,0.4699
0.0177,1.2,1.291,0.58,0.6093,1.20E-03,0.5029
0.019,1.2,1.285,0.58,0.6075,1.20E-03,0.5385
0.0204,1.2,1.28,0.58,0.6059,1.20E-03,0.602
0,0.6,,0.54,,1.90E-03,0
1.36E-03,0.6,0.72,0.54,0.6165,1.90E-03,2.54E-03
2.72E-03,0.6,0.718,0.54,0.6155,1.90E-03,7.62E-03
3.40E-03,0.6,0.715,0.54,0.6138,1.90E-03,0.0102
4.07E-03,0.6,0.714,0.54,0.6133,1.90E-03,0.0127
5.43E-03,0.6,0.712,0.54,0.6122,1.90E-03,0.0152
6.79E-03,0.6,0.71,0.54,0.6111,1.90E-03,0.0203
8.15E-03,0.6,0.709,0.54,0.6106,1.90E-03,0.033
9.51E-03,0.6,0.706,0.54,0.6089,1.90E-03,0.0457
0.0102,0.6,0.705,0.54,0.6084,1.90E-03,0.0533
0.0109,0.6,0.704,0.54,0.6078,1.90E-03,0.061
0.0122,0.6,0.7,0.54,0.6056,1.90E-03,0.0762
0.0136,0.6,0.695,0.54,0.6027,1.90E-03,0.1016
0.0149,0.6,0.692,0.54,0.601,1.90E-03,0.1143
0.0163,0.6,0.69,0.54,0.5998,1.90E-03,0.127
0.017,0.6,0.689,0.54,0.5993,1.90E-03,0.1422
0.0177,0.6,0.688,0.54,0.5987,1.90E-03,0.16
0.019,0.6,0.686,0.54,0.5975,1.90E-03,0.1905
0.0204,0.6,0.684,0.54,0.5963,1.90E-03,0.2235
0,0.9,,0.54,,1.90E-03,0
1.36E-03,0.9,1.01,0.54,0.5899,1.90E-03,2.54E-03
